,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
543,36L,Apr,195.08932005712737,184.96827557604,993.2038112361124,811.7034409543423,2940.18014522662,404.803315260836,149.4905,105.75,100.25,104.35,2018
544,36L,May,192.01889083252783,186.38642589328416,1089.8710956938987,898.3551002735607,3123.7302704854155,432.54086380070976,149.4905,105.75,100.25,104.35,2018
545,36L,Jun,178.32571300517424,170.11783357470875,1081.364213010636,893.835608365034,3095.3672641405306,415.21534813249,149.4905,105.75,100.25,104.35,2018
546,36L,Jul,183.24910278579577,177.54305457537436,1170.3059278423716,966.3899553674916,3159.3579525120326,423.2141841789278,149.4905,105.75,100.25,104.35,2018
547,36L,Aug,175.16163234453026,168.7799559169312,1026.308584306766,841.2653634379841,2998.056732702078,393.4831979289654,149.4905,105.75,100.25,104.35,2018
548,36L,Sep,172.95413420919724,166.19785203742043,1036.0278493201847,860.0707604701843,3094.102969753931,408.23998849425215,149.4905,105.75,100.25,104.35,2018
549,36L,Oct,181.72392225592927,172.07782434335292,1068.230071100611,868.934622395104,3729.721955575773,423.5637047170222,149.4905,105.75,100.25,104.35,2018
550,36L,Nov,193.8517832236831,181.442967947796,1087.4732728631452,884.2847297863593,3552.9883169833533,424.4065676414221,149.4905,105.75,100.25,104.35,2018
551,36L,Dec,224.06775012458985,212.29442673614716,1164.675085464535,938.0875634157346,2783.507982112576,436.07955020553146,149.4905,105.75,100.25,104.35,2018
552,42D,Jan,311.481539278454,305.0509472555301,610.2090523138522,418.4748000194091,5233.950531956019,110.514712256426,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
553,42D,Feb,270.1770297996148,262.6949207748968,577.5588536463725,415.3633516401885,4548.838974652138,101.44767947219091,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
554,42D,Mar,324.0180517400825,300.1033712431047,657.125892102774,473.96062867264726,4862.202187802381,116.13767832416868,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
555,42D,Apr,323.01890112284,288.46127662961567,594.8168872610202,422.44664891507,4644.780833182997,113.654201644249,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
556,42D,May,327.1956439546674,293.8382569953634,629.4430057191622,464.02100177632695,4884.178613517142,129.53908078562208,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
557,42D,Jun,282.5564431075888,255.9166159585509,609.2285959113968,453.31601860666143,4574.65776051319,121.03434460816128,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
558,42D,Jul,302.7572996121745,275.6943520759606,665.8399484960249,482.5646338370513,4625.733035628519,130.71053204973515,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
559,42D,Aug,288.159646254599,271.3165223274553,627.4270672998283,446.1977050316924,4279.639474158957,118.7851581810642,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
560,42D,Sep,287.2610390956953,266.2935387212757,621.6593824425271,447.0931218482204,4393.85597240998,117.332558613564,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
561,42D,Oct,308.5176019128392,274.766419741708,648.2367542090844,456.6275601292401,5434.010978841247,122.93209565602444,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
562,42D,Nov,324.6778681854314,283.01936194702404,649.2122082829559,450.309619127704,5323.121402180305,115.73938489437025,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
563,42D,Dec,377.9721850711816,342.9935348461632,708.7199091176944,487.4969298208317,4365.623996944855,118.50400987767706,42.6821,105.83333333333336,99.71666666666664,106.03333333333336,2018
564,52R,Jan,311.70591388105913,278.9110006593686,1332.1027398887366,1009.7934239502932,5208.963942947262,322.4543936700612,103.7356,101.37,100.33,102.69,2018
565,52R,Feb,286.7867925765118,236.9389100752297,1230.6139740396402,937.9792341755392,4618.935061830268,296.94723894207965,103.7356,101.37,100.33,102.69,2018
566,52R,Mar,343.98991281681504,282.2753230327872,1354.987202825321,1043.4734409134785,4817.324043047903,335.381489093426,103.7356,101.37,100.33,102.69,2018
567,52R,Apr,291.0765445999252,238.48129282522103,1174.174870378566,889.4454323016703,4505.116854773096,318.74303517789457,103.7356,101.37,100.33,102.69,2018
568,52R,May,311.0022017513756,245.09425886580885,1284.5323554279996,982.9629088695114,4706.5231222454,352.9357327667647,103.7356,101.37,100.33,102.69,2018
569,52R,Jun,264.89459741882246,217.9868820347113,1252.6603958017877,967.9507539731072,4449.369358253097,335.8538438106108,103.7356,101.37,100.33,102.69,2018
