,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year,month,ccg
1012,331.2256293077003,287.38219738545166,263.6845915456703,207.84425804978105,5131.499569089342,5633.366848606723,1379.129560471129,13.924,84.8,98.5,88.5,2019.0,May,00R
1013,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377692,4774.992818155703,5273.125538638323,1370.1522550991094,13.924,84.8,98.5,88.5,2019.0,Jun,00R
1014,322.04986561005416,257.63872607740376,277.6742085555523,231.56857596268773,5615.053145647803,6140.045963803505,1457.3398448721632,13.924,84.8,98.5,88.5,2019.0,Jul,00R
1015,324.5284882190581,265.5528222666236,267.70945617280967,221.39035238705355,4767.451881643206,5211.792588336685,1437.9488652686011,13.924,84.8,98.5,88.5,2019.0,Aug,00R
1016,310.4207515339272,244.72461628005985,261.81930927768605,216.46600719957505,5545.461074403907,6150.028727377191,1385.2341281241024,13.924,84.8,98.5,88.5,2019.0,Sep,00R
1017,333.85977333530843,254.71492340764536,279.1208385811668,233.4483659816452,5984.056305659294,6783.036483769032,1381.0686584314851,13.924,84.8,98.5,88.5,2019.0,Oct,00R
1018,391.9470231839667,275.36233574508174,291.41719379888974,246.5136320009484,5499.784544671072,6148.089629416834,1373.024992818156,13.924,84.8,98.5,88.5,2019.0,Nov,00R
1019,437.9599788957435,313.303729831302,304.08246039850303,255.02346421466328,4855.644929617926,5355.860384946855,1360.9594943981615,13.924,84.8,98.5,88.5,2019.0,Dec,00R
1020,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228768,4087.507075620034,4718.896971984039,353.95570836565406,28.6194,93.1,100.0,95.7,2019.0,Jan,00T
1021,311.8865409042715,253.4629759878818,247.20171390424923,198.60696575155228,3819.646813000972,4361.202540933772,333.1656149325283,28.6194,93.1,100.0,95.7,2019.0,Feb,00T
1022,317.9168839106483,277.7243172901326,259.44625572563933,208.03700388413944,4016.086989943885,4590.208040699666,364.61281508347486,28.6194,93.1,100.0,95.7,2019.0,Mar,00T
