,ccg,month,year,ae_attendances_attendances,population,gp_appt_available,amb_sys_made,amb_sys_answered,111_111_offered,111_111_answered,People,Lives,Places
952,06K,Dec,2019,289.41157121386294,56.9078,3707.5409697791865,264.36633365411006,174.22476198034994,353.02915308719133,313.6901716079358,105.69147869674184,106.85112781954888,98.962656641604
953,06N,Jan,2019,220.10314456984025,59.567,3989.977672201051,242.94373840491284,150.84002720539522,278.9444583721114,259.65273174970037,107.46,105.88,100.16
954,06N,Feb,2019,202.89005726532932,59.567,3538.385347591787,217.0875896879647,139.06498539969772,265.7398853657615,244.12147520321992,107.46,105.88,100.16
955,06N,Mar,2019,235.29017782391747,59.567,3705.222690415834,234.61015704832485,151.80125510790114,273.15779894019994,257.53210136441527,107.46,105.88,100.16
956,06N,Apr,2019,219.8017480995278,59.567,3428.3747712659692,229.8172454427105,148.7985202381464,272.2992441283436,253.1448862758296,107.46,105.88,100.16
957,06N,May,2019,229.4966678945782,59.567,3586.4992361542463,233.88041751683528,150.8995527865137,271.4578604127244,251.5909020663697,107.46,105.88,100.16
958,06N,Jun,2019,226.41572619805095,59.567,3738.831903570769,231.62065008548532,151.39780394698693,259.92746928949435,240.996335688063,107.46,105.88,100.16
959,06N,Jul,2019,243.46137101905492,59.567,4276.495374955932,253.7751895173247,167.29333875677517,274.29109129185025,250.23438546363673,107.46,105.88,100.16
960,06N,Aug,2019,220.4045410401527,59.567,3650.3936743498916,229.6011896297619,149.77738534987262,254.32110636807272,237.63938637370484,107.46,105.88,100.16
961,06N,Sep,2019,231.6901644285188,59.567,4246.663421021706,228.7083059129846,149.97359930244838,238.11159152022583,225.69688894078374,107.46,105.88,100.16
